"대구광역시","제과점업",358,1513,125300,117117,76772,13304,8472,18569,12751
"대구광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",588,2613,181507,170867,89045,29233,13049,39540,28388
"대구광역시","치킨전문점",1288,2617,222989,193642,112713,14853,11215,54862,12925
"대구광역시","김밥, 기타 간이음식점 및 포장 판매점",832,2285,141528,125704,69719,18688,12419,24878,16472
"대구광역시","생맥주 및 기타 주점업",407,945,52671,46461,22791,7648,4933,11090,7266
"대구광역시","커피 및 기타 비알코올 음료점업",1001,3979,211897,181798,73950,41844,24409,41595,39703
"대구광역시","자동차 전문 수리업",284,1156,132685,115371,63970,28061,3191,20150,25877
"대구광역시","두발 미용업",97,325,10898,11198,3039,3986,1961,2212,3802
"대구광역시","가정용 세탁업",205,296,17027,13669,3440,1832,1424,6973,1778
"대구광역시","기타 프랜차이즈",1159,3169,311894,290594,194185,27682,20590,48137,24019
"인천광역시","합계",12887,46630,4346494,4108271,2525802,551407,277602,753460,505475
"인천광역시","체인화 편의점",2501,10831,1299442,1299896,938607,102197,42466,216626,95894
"인천광역시","문구용품 및 회화용품 소매업",75,220,27913,25443,18769,2083,1329,3262,1861
"인천광역시","의약품 및 의료용품 소매업",202,812,318193,296687,248088,18500,10309,19790,17618
"인천광역시","안경 및 렌즈 소매업",147,436,49179,44924,22352,8668,6979,6925,8107
"인천광역시","한식 음식점업",2085,6680,530461,500661,263378,93218,46517,97548,81630
"인천광역시","외국식 음식점업",466,2171,161867,155566,68205,38943,15283,33134,37880
"인천광역시","제과점업",417,2090,177472,169884,107942,22436,12407,27099,22244
"인천광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",754,3154,235596,216811,114729,37095,15877,49110,33339
"인천광역시","치킨전문점",1460,3315,335951,292723,178307,26159,24051,64206,24163
"인천광역시","김밥, 기타 간이음식점 및 포장 판매점",860,2607,157220,139996,73928,22728,14060,29280,21711
"인천광역시","생맥주 및 기타 주점업",603,1689,123658,110441,53044,17941,13865,25590,15587
"인천광역시","커피 및 기타 비알코올 음료점업",1260,4714,217988,193799,76118,42265,27469,47947,36776
"인천광역시","자동차 전문 수리업",269,1391,165770,151660,76755,38934,7163,28808,36192
"인천광역시","두발 미용업",282,1330,66215,62901,13448,18862,8085,22506,15930
"인천광역시","가정용 세탁업",211,286,17531,16606,8778,1421,1277,5129,929
"인천광역시","기타 프랜차이즈",1295,4904,462038,430273,263354,59958,30463,76498,55613
"광주광역시","합계",6968,23233,2123609,1996808,1234876,257242,128955,375736,239886
"광주광역시","체인화 편의점",1125,4591,527655,526297,372732,42925,18725,91915,39556
